Student,LPIPS,SSIM
109590028.jpg,0.3925574719905853,0.7831851326777112
1082B0005.jpg,0.47407686710357666,0.7633904433836968
109300219.jpg,0.4958209991455078,0.7621710336723845
112598006.jpg,0.4979790449142456,0.7793782403024345
1092B0020.jpg,0.5013963580131531,0.7941503057284554
109AB0032.jpg,0.5758557319641113,0.7759244639314037
109590029.jpg,0.634116530418396,0.7255578295034704
